[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
139,1001,5,0,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,0.966
140,1001,5,0,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,0.975
141,1001,5,0,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,0.969
142,1001,5,0,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,0.965
143,1001,5,0,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,0.972
145,1001,5,0,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,0.954
144,1001,5,0,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,0.966
146,1001,5,0,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,0.972
147,1001,5,0,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,0.969
148,1001,5,1,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
149,1001,5,1,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
150,1001,5,1,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
151,1001,5,1,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
152,1001,5,1,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
153,1001,5,1,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
154,1001,5,1,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
155,1001,5,1,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
156,1001,5,1,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
157,1001,5,1,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
