[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,calibration,marginal-pivotality,variance-of-perceived-pivotality,mpp-divided,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
77,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,1p1v,1000,0.617,1.789188226,9.821077368,-2.38,7.107891538,0.617
78,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,QV,1000,1,7.24093425,6.894981438,0.026701757,0.042271882,0.604
79,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,1p1v,1000,0.597,1.505019776,9.938297878,-2.028,6.923521586,0.597
81,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,1p1v,1000,0.651,2.581134133,10.68083397,-1.864,7.139220719,0.651
80,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,QV,1000,0.997,7.669917951,7.437538251,2.873257891,4.493511101,0.657
82,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,QV,1000,0.985,7.405314483,7.475450997,0.282727474,0.445175582,0.645
83,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,1p1v,1000,0.625,1.859634014,10.23836484,-1.976,6.981702383,0.625
85,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,1,FALSE,FALSE,1p1v,1000,0.616,1.510496884,10.42112554,-2.132,6.769667969,0.616
84,51,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,QV,1000,0.993,7.581626718,7.351560638,0.029288312,0.04388284,0.635
87,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,10,FALSE,FALSE,1p1v,1000,0.601,1.656899715,9.63825393,-2.32,7.154074418,0.601
86,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,1,FALSE,FALSE,QV,1000,0.979,7.637475319,7.343215493,2.976355251,4.416023141,0.645
88,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,10,FALSE,FALSE,QV,1000,0.992,7.440548239,7.309036822,0.286360119,0.435408095,0.629
89,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,100,FALSE,FALSE,1p1v,1000,0.653,2.530491105,10.17685444,-1.784,7.250235162,0.653
90,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,100,FALSE,FALSE,QV,1000,0.987,7.263824969,7.401970549,0.027254164,0.043986058,0.625
91,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,1,FALSE,FALSE,1p1v,1000,0.623,2.167007702,10.4927378,-2.19,7.24820229,0.623
93,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,10,FALSE,FALSE,1p1v,1000,0.654,2.459114849,10.6249333,-1.722,7.225435829,0.654
92,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,1,FALSE,FALSE,QV,1000,0.95,7.389331975,7.386113399,2.876402433,4.350330375,0.637
95,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,100,FALSE,FALSE,1p1v,1000,0.623,1.958708069,9.889627606,-2.052,7.001593984,0.623
94,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,10,FALSE,FALSE,QV,1000,0.952,7.711947006,8.170321953,0.301437213,0.48023707,0.637
97,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,1,FALSE,FALSE,1p1v,1000,0.613,2.285085477,10.68368448,-2.08,7.313486657,0.613
96,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,100,FALSE,FALSE,QV,1000,0.954,7.248144447,7.361945201,0.028139548,0.044566285,0.666
99,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,10,FALSE,FALSE,1p1v,1000,0.627,2.484564522,10.14550702,-1.844,7.049635548,0.627
98,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,1,FALSE,FALSE,QV,1000,0.937,7.217916245,7.463753268,2.700246728,4.513931051,0.646
100,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,10,FALSE,FALSE,QV,1000,0.929,7.017799639,7.18984072,0.264230811,0.450683736,0.643
101,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,100,FALSE,FALSE,1p1v,1000,0.635,2.452820873,10.24296626,-1.878,6.961147432,0.635
102,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,100,FALSE,FALSE,QV,1000,0.933,7.453447863,7.717202975,0.02769446,0.04696216,0.629
103,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,1,FALSE,FALSE,1p1v,1000,0.598,1.696470692,10.19463532,-2.146,6.989387351,0.598
104,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,1,FALSE,FALSE,QV,1000,0.923,7.381316198,7.720685198,3.018464407,4.766422783,0.645
105,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,10,FALSE,FALSE,1p1v,1000,0.649,2.264498059,9.822320416,-1.518,6.962194205,0.649
107,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,100,FALSE,FALSE,1p1v,1000,0.641,2.3639601,10.19825497,-2.114,7.382242309,0.641
106,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,10,FALSE,FALSE,QV,1000,0.931,7.325306209,7.64218641,0.277084424,0.47446008,0.646
109,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,1,FALSE,FALSE,1p1v,1000,0.629,2.455304729,10.40018158,-2.288,7.225043755,0.629
108,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,100,FALSE,FALSE,QV,1000,0.916,7.038145776,7.149100421,0.027853995,0.04376851,0.626
110,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,1,FALSE,FALSE,QV,1000,0.903,7.135178838,7.539516669,2.568216714,4.589967198,0.61
111,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,10,FALSE,FALSE,1p1v,1000,0.651,2.256943213,10.41557109,-1.662,7.117331832,0.651
112,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,10,FALSE,FALSE,QV,1000,0.899,7.358196105,8.298296359,0.29508725,0.508627513,0.635
113,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,100,FALSE,FALSE,1p1v,1000,0.628,2.257703442,10.07718828,-1.99,7.233548522,0.628
115,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,1,FALSE,FALSE,1p1v,1000,0.642,2.243193285,10.27977958,-2.106,6.982658628,0.642
114,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,100,FALSE,FALSE,QV,1000,0.909,7.490915752,7.649013378,0.030121707,0.04773748,0.648
117,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,10,FALSE,FALSE,1p1v,1000,0.613,1.954638746,10.68351517,-1.96,7.099916113,0.613
116,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,1,FALSE,FALSE,QV,1000,0.916,7.267161766,7.726276374,2.741711015,5.001171932,0.626
119,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,100,FALSE,FALSE,1p1v,1000,0.621,2.16760691,10.90756628,-1.986,6.905033199,0.621
118,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,10,FALSE,FALSE,QV,1000,0.89,7.036338306,7.568259113,0.263455487,0.489141454,0.636
121,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,1,FALSE,FALSE,1p1v,1000,0.612,1.767650558,10.52976254,-2.1,7.282515708,0.612
120,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,100,FALSE,FALSE,QV,1000,0.894,6.950268019,7.546421871,0.028380419,0.046986039,0.599
123,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,10,FALSE,FALSE,1p1v,1000,0.646,2.701421096,10.70158744,-1.838,7.293486886,0.646
122,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,1,FALSE,FALSE,QV,1000,0.9,7.052282351,7.721860267,2.857389496,4.96476952,0.632
125,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,100,FALSE,FALSE,1p1v,1000,0.665,2.940936937,11.2375705,-1.838,7.329083945,0.665
124,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,10,FALSE,FALSE,QV,1000,0.883,6.617533076,7.279798944,0.266082963,0.473917472,0.63
127,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,1,FALSE,FALSE,1p1v,1000,0.622,2.246943099,10.35239145,-2.07,7.12782617,0.622
126,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,100,FALSE,FALSE,QV,1000,0.898,6.88032706,7.735743815,0.027391855,0.048606646,0.634
129,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,10,FALSE,FALSE,1p1v,1000,0.64,2.11933713,10.64072103,-2.342,7.235425861,0.64
128,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,1,FALSE,FALSE,QV,1000,0.869,6.618403005,7.38168708,2.494449863,4.619941445,0.621
130,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,10,FALSE,FALSE,QV,1000,0.866,7.135222847,8.1915808,0.292030656,0.48973836,0.602
131,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,100,FALSE,FALSE,1p1v,1000,0.628,2.093331591,10.17900422,-1.932,7.008315953,0.628
133,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,1,FALSE,FALSE,1p1v,1000,0.636,2.492803607,10.79012256,-1.798,7.089249146,0.636
132,51,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,100,FALSE,FALSE,QV,1000,0.889,7.030692674,7.773556837,0.02928315,0.050605135,0.645
