u,v
-2.08644791,-1
-4.415021005,-1
-3.513866324,-1
-2.937093708,-1
6.353200163,1
-2.161320171,-1
-6.458010194,-1
-1.621450207,-1
-1.070976778,-1
3.036726788,1
-2.544511533,-1
-0.21593621,-1
0.616794685,1
2.899286365,1
0.974721155,1
0.306943746,1
-0.629281137,-1
2.829873142,1
-6.034491279,-1
-3.354742848,-1
2.518742691,1
-2.645180602,-1
-3.754775484,-1
-3.648974858,-1
3.126693345,1
-0.088836421,-1
4.672972279,1
2.617818467,1
-1.78086169,-1
-2.784358322,-1
-5.773358076,-1
0.762987206,1
4.04415233,1
-1.693267261,-1
-4.622726562,-1
0.875611739,1
1.483629041,1
1.702952617,1
-0.793887896,-1
-0.789599239,-1
-0.334997107,-1
-4.635204028,-1
2.115687721,1
-2.491571006,-1
-1.794597082,-1
5.7377914,1
0.734377573,1
7.285873195,1
-1.127028681,-1
-7.115303415,-1
1.446611766,1
1.705215466,1
-2.511954622,-1
0.044166694,1
-1.99023477,-1
3.692285529,1
1.65144705,1
1.919125849,1
2.578710715,1
-0.92194049,-1
4.277647139,1
-3.273227904,-1
0.971064716,1
-1.914826567,-1
-1.270436349,-1
1.575037961,1
1.916443764,1
-3.816784812,-1
-1.974222166,-1
-4.911996194,-1
2.574506288,1
-1.648534585,-1
-2.734568171,-1
-2.847284042,-1
1.231870099,1
-1.965558194,-1
-1.595908721,-1
1.883363358,1
-2.726321605,-1
7.495120291,1
3.921951207,1
1.679161935,1
0.719632589,1
-0.472054454,-1
-3.07846069,-1
5.33945451,1
-0.697327197,-1
-5.545028383,-1
-5.043659104,-1
-1.443349194,-1
1.293384163,1
-0.007566925,-1
-2.856002323,-1
-1.973371603,-1
-1.507069458,-1
-7.233769475,-1
-0.065285267,-1
1.244070208,1
-0.224782775,-1
-1.748083816,-1
-0.001728652,-1
-2.956908332,-1
2.092399741,1
2.513773086,1
-2.242159816,-1
-6.486753573,-1
-2.487703838,-1
2.950896288,1
-1.612810533,-1
1.89305572,1
2.806464109,1
6.199218915,1
1.263407458,1
2.637345534,1
3.928584107,1
4.533628456,1
6.819429949,1
4.719765814,1
0.779018962,1
-2.409645962,-1
3.049115638,1
-2.154928365,-1
1.784628574,1
3.125066442,1
-0.401887739,-1
-4.230255391,-1
-0.453531446,-1
2.649420334,1
-0.915398594,-1
2.978850116,1
2.409110678,1
-1.299680488,-1
0.979007594,1
6.032933831,1
4.940662315,1
4.235785814,1
-1.581095367,-1
-0.58059396,-1
-1.317512683,-1
-5.039522913,-1
0.544935637,1
2.027749804,1
3.167807528,1
1.898991979,1
-4.697154837,-1
-0.380330201,-1
-2.163317373,-1
0.674506238,1
-0.394434628,-1
-1.282745071,-1
-6.091496537,-1
0.120168461,1
1.100437356,1
-1.423975227,-1
2.998664699,1
0.510895521,1
-3.459256992,-1
1.145138068,1
-5.31874764,-1
1.15115983,1
-0.650411124,-1
-0.709522833,-1
0.600520703,1
1.761716679,1
-3.50230213,-1
-3.033819107,-1
0.086701154,1
-3.148888353,-1
-2.118673489,-1
-2.584935259,-1
1.165968418,1
0.434688615,1
1.256735006,1
4.4142052,1
0.419673922,1
2.176336693,1
-1.223194856,-1
-6.27222738,-1
-0.697608077,-1
-1.772294414,-1
2.290726887,1
-0.103299682,-1
-1.408012634,-1
-2.263019587,-1
0.439906865,1
0.568848283,1
-2.544494088,-1
0.435871252,1
-1.439999138,-1
-0.167053942,-1
-1.074057198,-1
-7.902683754,-1
-0.57628399,-1
-3.164212928,-1
1.681069405,1
